# tablE for ExpErimEntal ratE
#                         
#    T8     ratE 

6603
0.15868285 1.0075772E-60
0.15886565 1.0657764E-60
0.15904865 1.1273149E-60
0.15923187 1.1923831E-60
0.1594153 1.2611821E-60
0.15959894 1.3339243E-60
0.15978279 1.4108342E-60
0.15996685 1.4921491E-60
0.16015113 1.5781195E-60
0.16033561 1.6690102E-60
0.16052031 1.765101E-60
0.16070522 1.8666872E-60
0.16089035 1.9740811E-60
0.16107569 2.0876125E-60
0.16126124 2.2076299E-60
0.16144701 2.3345012E-60
0.16163299 2.4686153E-60
0.16181918 2.6103828E-60
0.16200559 2.7602376E-60
0.16219221 2.9186379E-60
0.16237905 3.0860678E-60
0.1625661 3.2630386E-60
0.16275337 3.4500903E-60
0.16294086 3.6477932E-60
0.16312856 3.8567499E-60
0.16331647 4.0775967E-60
0.16350461 4.3110055E-60
0.16369296 4.5576861E-60
0.16388152 4.8183881E-60
0.16407031 5.0939032E-60
0.16425931 5.3850673E-60
0.16444853 5.6927634E-60
0.16463797 6.0179239E-60
0.16482762 6.3615332E-60
0.1650175 6.7246312E-60
0.16520759 7.1083158E-60
0.1653979 7.5137463E-60
0.16558843 7.9421469E-60
0.16577918 8.3948104E-60
0.16597015 8.8731016E-60
0.16616134 9.3784618E-60
0.16635275 9.9124125E-60
0.16654439 1.0476561E-59
0.16673624 1.1072602E-59
0.16692831 1.1702328E-59
0.1671206 1.236763E-59
0.16731312 1.3070503E-59
0.16750586 1.3813055E-59
0.16769882 1.4597511E-59
0.167892 1.5426221E-59
0.1680854 1.6301663E-59
0.16827903 1.7226456E-59
0.16847288 1.8203362E-59
0.16866695 1.9235298E-59
0.16886125 2.0325344E-59
0.16905577 2.147675E-59
0.16925051 2.2692947E-59
0.16944548 2.3977556E-59
0.16964068 2.5334399E-59
0.1698361 2.6767511E-59
0.17003174 2.828115E-59
0.17022761 2.9879811E-59
0.1704237 3.1568236E-59
0.17062002 3.3351434E-59
0.17081657 3.5234686E-59
0.17101334 3.722357E-59
0.17121034 3.9323971E-59
0.17140757 4.15421E-59
0.17160502 4.3884509E-59
0.1718027 4.6358118E-59
0.17200061 4.8970223E-59
0.17219875 5.1728528E-59
0.17239712 5.464116E-59
0.17259571 5.7716696E-59
0.17279453 6.0964185E-59
0.17299358 6.4393177E-59
0.17319286 6.8013748E-59
0.17339238 7.183653E-59
0.17359212 7.5872739E-59
0.17379209 8.0134212E-59
0.17399229 8.4633435E-59
0.17419272 8.9383585E-59
0.17439338 9.4398561E-59
0.17459427 9.9693027E-59
0.1747954 1.0528246E-58
0.17499676 1.1118317E-58
0.17519834 1.1741239E-58
0.17540016 1.2398828E-58
0.17560222 1.3092999E-58
0.1758045 1.3825776E-58
0.17600702 1.459929E-58
0.17620977 1.541579E-58
0.17641276 1.627765E-58
0.17661598 1.7187372E-58
0.17681943 1.8147597E-58
0.17702312 1.9161108E-58
0.17722704 2.0230844E-58
0.1774312 2.1359903E-58
0.1776356 2.2551551E-58
0.17784022 2.3809235E-58
0.17804509 2.5136591E-58
0.17825019 2.653745E-58
0.17845552 2.8015858E-58
0.1786611 2.9576077E-58
0.17886691 3.1222603E-58
0.17907295 3.2960181E-58
0.17927924 3.4793809E-58
0.17948576 3.6728763E-58
0.17969252 3.8770603E-58
0.17989952 4.0925194E-58
0.18010675 4.3198721E-58
0.18031423 4.5597704E-58
0.18052194 4.812902E-58
0.18072989 5.0799919E-58
